name,ik,standortnummer,anzahl_standorte,strasse,hausnummer,plz,ort,telefon,email,betten,vollstationaere_fallzahl,teilstationaere_fallzahl,ambulante_fallzahl,staeb_fallzahl,traeger_name,traeger_art,lehrkrankenhaus,universitaet,notfallstufe,notdienst,notdienstpraxis,hat_bg_zulassung,hat_darzt,hat_dialyse,hat_onkologie,hat_radiologie,hat_intensivmedizin,hat_notaufnahme,hat_psychiatrie,hat_geriatrie,anzahl_fachabteilungen,fachabteilungen,fachabteilung_schluessel,apparative_ausstattung,url_zugang,url_internetseite,url_weitere_infos
DIAKO Klinikum,260100023,773287000,1,Knuthstr.,1,24939,Flensburg,+49461-812-0,servicecenter@diako.de,400,19549,178,50000,0,DIAKO Krankenhaus gGmbH,freigemeinnützig,Ja,Universitätsklinikum Schleswig-Holstein Campus Kiel,,ja,ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,11,"Medizinische Klinik; Klinik für Gynäkologie und Geburtshilfe, Brustzentrum, gynäkologisches Krebszentrum, Perinatalzentrum Level 1; Klinik für Unfall-, Hand- und Plastische Chirurgie; Orthopädie; Kinder- und Jugendmedizin; Urologische Klinik; Klinik für Neurologie; Neurochirurgische Klinik; Gefäßchirurgische Klinik; Klinik für Anästhesiologie, operative Intensivmedizin und Schmerztherapie; Klinik für Diagnostische und Interventionelle Radiologie/Neuroradiologie",,AA08; AA43; AA70; AA47; AA72; AA14; AA33; AA22; AA69; AA21; AA57; AA10; AA38; AA18; AA23; AA01,https://www.diako-krankenhaus.de/,http://www.diako.de,https://www.diako-krankenhaus.de/ueber-uns/qualitaet/gesetzliche-qualitaetsberichte/
Malteser Krankenhaus St. Franziskus-Hospital,260100034,771320000,1,Waldstraße,17,24939,Flensburg,+49461-816-0,krankenhaus.flensburg@malteser.org,384,12715,0,7207,0,Malteser Norddeutschland gGmbH,freigemeinnützig,Ja,Medizinische Fakultät der Christian-Albrechts-Universität Kiel,,nein,nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,8,"H Anästhesiologie, Intensivmedizin und Schmerztherapie; A Strahlentherapie; B Chirurgie; C Geriatrie; D Innere Medizin; E Hals-Nasen-Ohrenheilkunde; F Mund-, Kiefer- und Gesichtschirurgie; G Geriatrische Tagesklinik",,AA08; AA32; AA18; AA50; AA14; AA57; AA72,http://www.malteser-franziskus.de/,http://www.malteser-franziskus.de/,
Park-Klinik GmbH,260100147,,1,Goethestrasse,11,24116,Kiel,+49431-59090,info@park-klinik.de,39,1816,0,1763,0,Park-Klinik GmbH,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,4,"Frauenheilkunde und Geburtshilfe; Hals-, Nasen-, Ohrenheilkunde; Allgemeine Chirurgie; Orthopädie",,,http://www.park-klinik.de,http://www.park-klinik.de,
Sankt Elisabeth Krankenhaus,260100170,771993000,2,Königsweg,8,24103,Kiel,+49431-2202,info@lubinus-kliniken.de,43,2096,0,3371,0,Lubinus-Kliniken GmbH,freigemeinnützig,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,5,"Allgemeine Chirurgie; Allgemeine Chirurgie /Belegabteilung; Orthopädie/Schwerpunkt Fußchirurgie, Unfallchirurgie und Handchirurgie; Orthopädie / Belegabteilung; Anästhesie",,AA22; AA08,https://www.lubinus-kliniken.de,https://www.lubinus-kliniken.de,
Lubinus Clinicum,260100170,771994000,2,Steenbeker Weg,25,24106,Kiel,+49431-3880,info@lubinus-kliniken.de,139,5810,0,31368,0,Lubinus-Kliniken GmbH,freigemeinnützig,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,3,Orthopädie/Schwerpunkt Chirurgie und Endoprothetik; Orthopädie/ Beleger LC; Anästhesiologie und operative Intensivmedizin,,AA68; AA14; AA08; AA22; AA01,https://www.lubinus-kliniken.de,https://www.lubinus-kliniken.de,
Klinik Flechsig GmbH,260100238,,1,Chemnitzstraße,33,24116,Kiel,+49431-3397100,info@klinik-flechsig.de,30,1302,0,869,0,Klinik Flechsig GmbH,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Klinik Flechsig GmbH,,,https://klinik-flechsig.de/,http://www.klinik-flechsig.de/,
Krankenhaus Geesthacht (KH),260100432,772342000,3,Am Runden Berge,3,21502,Geesthacht,+494152-1790,info@vitalcampus.de,195,7024,311,25901,0,Vitalcampus Geesthacht - Krankenhaus Geesthacht GmbH,freigemeinnützig,Ja,Universitätsklinikum Hamburg-Eppendorf,,ja,ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,6,"Innere Medizin, Gastroenterologie, Kardiologie und Angiologie; Klinik für Allgemein-, Visceral-, Gefäß- und Unfallchirurgie; Frauenklinik; Allgemeine Psychiatrie; Allg. Psychiatrie/Tagesklinik (teilstat. Pflegesätze); Abteilung für Anästhesie, Intensiv- und Notfallmedizin, Schmerztherapie",,AA14; AA23; AA33; AA01; AA08; AA10; AA69; AA50,http://www.vitalcampus.de,http://www.vitalcampus.de,https://krankenhaus.vitalcampus.de
Tagesklinik Mölln c/o Vitalcampus - Krankenhaus Geesthacht GmbH,260100432,772343000,3,Am Runden Berge,3,21502,Geesthacht,+494152-1790,info@vitalcampus.de,0,0,150,956,0,Vitalcampus Geesthacht - Krankenhaus Geesthacht GmbH,freigemeinnützig,Ja,Universitätsklinikum Hamburg-Eppendorf,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/ Tagesklinik (für teilstationäre Pflegesätze),,,http://www.vitalcampus.de,http://www.vitalcampus.de,
Tagesklinik Schwarzenbek c/o Vitalcampus - Krankenhaus Geesthacht GmbH,260100432,772344000,3,Am Runden Berge,3,21502,Geesthacht,+494152-1790,info@vitalcampus.de,0,0,136,843,0,Vitalcampus Geesthacht - Krankenhaus Geesthacht GmbH,freigemeinnützig,Ja,Universitätsklinikum Hamburg-Eppendorf,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/ Tagesklinik (für teilstationäre Pflegesätze),,,http://www.vitalcampus.de,http://www.vitalcampus.de,
DRK-Krankenhaus Mölln-Ratzeburg gGmbH,260100454,,1,Röpersberg,2,23909,Ratzeburg,+494541-884-0,info@drk-krankenhaus.de,167,7905,580,7072,0,DRK-Krankenhaus Mölln-Ratzeburg gGmbH,freigemeinnützig,Ja,"Universtitätsklinikum Schleswig-Holstein, Campus Lübeck",,ja,ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,5,Allgemeine Chirurgie; Frauenheilkunde und Geburtshilfe; Urologie; Anästhesie; Innere Medizin,,AA01; AA32; AA23; AA69; AA08; AA14,http://www.drk-krankenhaus.de,http://www.drk-krankenhaus.de,
